# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

54cf2d3d-964a-3722-a67d-92f0555a5a98.combatlog.time, long, 000000000000000F
85e47b1d-19d6-3fed-ba26-c8e21ea31848.combatlog.time, long, 000000000000000B
ce7e34a7-c2b1-39f7-bcd1-d74f8fef77ad.combatlog.time, long, 000000000000000F
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A67D92F0555A5A980B6D6F7374536967426974730454CF2D3D964A3722
combatlog::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BCD1D74F8FEF77AD0B6D6F73745369674269747304CE7E34A7C2B139F7
combatlog::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BA26C8E21EA318480B6D6F7374536967426974730485E47B1D19D63FED
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFED00179030000005F017A03FFFFFD07
rtpqueue::looking, long, 0000000000000001
rtpqueue::looking::c95ea38f-0138-32a8-96fe-5f71657efd0f, offlineplayer, 810475756964800455554944820C6C65617374536967426974730496FE5F71657EFD0F0B6D6F73745369674269747304C95EA38F013832A8
rtpqueue::looking::searching::c95ea38f-0138-32a8-96fe-5f71657efd0f, boolean, 01
x, double, C072F964E9E782CA
z, double, C087C1E53F9D5F9F

