# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 0000000000000007
557fac30-fee8-311e-9f5e-05ea4058b44b.combatlog.time, long, 0000000000000011
582078ed-d84b-3cb5-8c25-7a74b1929c54.combatlog.time, long, 0000000000000014
combatlog::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
combatlog::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049F5E05EA4058B44B0B6D6F73745369674269747304557FAC30FEE8311E
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A830338CB2C63E8C0B6D6F73745369674269747304FFD6FD9D136F3EA8
combatlog::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048C257A74B1929C540B6D6F73745369674269747304582078EDD84B3CB5
combatlog::5, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048497BE8FBE92DA730B6D6F73745369674269747304EF181D16FF2933DE
ef181d16-ff29-33de-8497-be8fbe92da73.combatlog.time, long, 0000000000000014
ffd6fd9d-136f-3ea8-a830-338cb2c63e8c.combatlog.time, long, 0000000000000011
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000001460179030000003E017A03000003E2
rtpqueue::looking, long, 0000000000000002
rtpqueue::looking::9dc0be48-4843-32aa-b690-d1b70aa4e276, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B690D1B70AA4E2760B6D6F737453696742697473049DC0BE48484332AA
rtpqueue::looking::097ff90f-e462-3ad7-841f-b69e31c2f3e5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304841FB69E31C2F3E50B6D6F73745369674269747304097FF90FE4623AD7
rtpqueue::looking::searching::9dc0be48-4843-32aa-b690-d1b70aa4e276, boolean, 01
rtpqueue::looking::searching::097ff90f-e462-3ad7-841f-b69e31c2f3e5, boolean, 01
x, double, 40746461677A0B9C
z, double, 408F173F794E72B8

