# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

666c7294-f365-3e77-b767-760606c0c7a5.combatlog.time, long, 000000000000000C
7a5d473f-3ddd-312d-850a-180eae88f4eb.combatlog.time, long, 0000000000000004
b0791bc7-8707-359b-9640-0309da2bda1a.combatlog.time, long, 0000000000000013
c4caaca9-3b90-3b48-9d11-959e55acb3fa.combatlog.time, long, 000000000000000A
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B767760606C0C7A50B6D6F73745369674269747304666C7294F3653E77
combatlog::3, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049D11959E55ACB3FA0B6D6F73745369674269747304C4CAACA93B903B48
combatlog::4, offlineplayer, 810475756964800455554944820C6C65617374536967426974730496400309DA2BDA1A0B6D6F73745369674269747304B0791BC78707359B
combatlog::7, offlineplayer, 810475756964800455554944820C6C656173745369674269747304850A180EAE88F4EB0B6D6F737453696742697473047A5D473F3DDD312D
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C640178030000035E0179030000003E017A0300000162
x, double, 408AF05978C4F9B6
z, double, 407622C423073F18

