# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 0000000000000014
758adbe6-7f52-3f00-a954-95dffda5f853.combatlog.time, long, 0000000000000014
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A95495DFFDA5F8530B6D6F73745369674269747304758ADBE67F523F00
combatlog::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A6F0CAAA53B15F5B0B6D6F73745369674269747304D31D83CE41623505
d31d83ce-4162-3505-a6f0-caaa53b15f5b.combatlog.time, long, 0000000000000005
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000003B70179030000003E017A03FFFFFD7D
rtpqueue::looking, long, 0000000000000002
rtpqueue::looking::1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
rtpqueue::looking::7a1ec49c-6e2e-352c-9967-5749aab576d2, offlineplayer, 810475756964800455554944820C6C65617374536967426974730499675749AAB576D20B6D6F737453696742697473047A1EC49C6E2E352C
rtpqueue::looking::searching::1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db, boolean, 01
rtpqueue::looking::searching::7a1ec49c-6e2e-352c-9967-5749aab576d2, boolean, 01
x, double, 408DBE6AFB457C54
z, double, C08414D07041AAA0

