# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

3be15025-0a80-3163-bc87-dc8ac80dcc3c.combatlog.time, long, 000000000000000A
72e08251-d5d1-3d52-b1fc-1d9bc15a5b96.combatlog.time, long, 000000000000000C
9f5d821a-daa1-36d0-93d5-596ac46b1165.combatlog.time, long, 000000000000000C
a9c078fc-d48f-31bb-a062-b8dac714f7d1.combatlog.time, long, 0000000000000001
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BC87DC8AC80DCC3C0B6D6F737453696742697473043BE150250A803163
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A062B8DAC714F7D10B6D6F73745369674269747304A9C078FCD48F31BB
combatlog::4, offlineplayer, 810475756964800455554944820C6C65617374536967426974730493D5596AC46B11650B6D6F737453696742697473049F5D821ADAA136D0
combatlog::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B1FC1D9BC15A5B960B6D6F7374536967426974730472E08251D5D13D52
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000000D10179030000003E017A0300000395
x, double, 406A37562356BBA0
z, double, 408CAD92D591DC3C

