# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

32a8b2a2-d121-30be-9b64-c4e5604c7d15.combatlog.time, long, 0000000000000014
combatlog::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B64C4E5604C7D150B6D6F7374536967426974730432A8B2A2D12130BE
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B058EA0CD6572F3D0B6D6F73745369674269747304ECB3626B930D3FB7
ecb3626b-930d-3fb7-b058-ea0cd6572f3d.combatlog.time, long, 0000000000000014
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000002E40179030000003E017A03000003D2
rtpqueue::looking, long, 0000000000000001
rtpqueue::looking::2cec0e1c-0422-3021-8ca8-b5a98621cd15, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048CA8B5A98621CD150B6D6F737453696742697473042CEC0E1C04223021
rtpqueue::looking::searching::2cec0e1c-0422-3021-8ca8-b5a98621cd15, boolean, 01
x, double, 408720F197E43C6E
z, double, 408E930D47422D72

