# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

097ff90f-e462-3ad7-841f-b69e31c2f3e5.combatlog.time, long, 0000000000000015
1e44dd37-8db2-3612-a88a-24820385e70c.combatlog.time, long, 0000000000000015
1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 0000000000000014
3c90fd8e-006f-3cd5-b37d-78525a10562a.combatlog.time, long, 0000000000000015
a7f4dc71-5bae-3be3-9301-5f59144caba3.combatlog.time, long, 0000000000000013
a8d021d5-6cc9-387d-8c61-052bf7a583fc.combatlog.time, long, 0000000000000013
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A88A24820385E70C0B6D6F737453696742697473041E44DD378DB23612
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B37D78525A10562A0B6D6F737453696742697473043C90FD8E006F3CD5
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304841FB69E31C2F3E50B6D6F73745369674269747304097FF90FE4623AD7
combatlog::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
combatlog::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304AF2EC880C35D87B80B6D6F73745369674269747304EFB85E03EA6334CE
combatlog::6, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048C61052BF7A583FC0B6D6F73745369674269747304A8D021D56CC9387D
combatlog::7, offlineplayer, 810475756964800455554944820C6C65617374536967426974730493015F59144CABA30B6D6F73745369674269747304A7F4DC715BAE3BE3
efb85e03-ea63-34ce-af2e-c880c35d87b8.combatlog.time, long, 0000000000000014
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFECC01790300000047017A030000012A
rtpqueue::looking, long, 0000000000000001
rtpqueue::looking::237dff34-909e-301f-bc31-9de4fa002ece, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BC319DE4FA002ECE0B6D6F73745369674269747304237DFF34909E301F
rtpqueue::looking::searching::237dff34-909e-301f-bc31-9de4fa002ece, boolean, 01
x, double, C07337250B75938A
z, double, 4072A675DCCE0AC8

