# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 0000000000000014
69ecc27e-185f-3399-a906-8a249c39feae.combatlog.time, long, 0000000000000013
6a7c6a33-991d-38cb-aacf-69606a487fcd.combatlog.time, long, 0000000000000014
6d566116-3bde-3bf4-b0ca-8dbbdae12068.combatlog.time, long, 0000000000000014
72e813c3-5516-36c0-bea8-c824e7f6fbf7.combatlog.time, long, 000000000000000B
9dc0be48-4843-32aa-b690-d1b70aa4e276.combatlog.time, long, 0000000000000014
b44a8a04-fda1-372f-9bf5-ed34b4e0a188.combatlog.time, long, 0000000000000014
c4caaca9-3b90-3b48-9d11-959e55acb3fa.combatlog.time, long, 0000000000000014
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BEA8C824E7F6FBF70B6D6F7374536967426974730472E813C3551636C0
combatlog::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B0CA8DBBDAE120680B6D6F737453696742697473046D5661163BDE3BF4
combatlog::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B690D1B70AA4E2760B6D6F737453696742697473049DC0BE48484332AA
combatlog::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A9068A249C39FEAE0B6D6F7374536967426974730469ECC27E185F3399
combatlog::6, offlineplayer, 810475756964800455554944820C6C656173745369674269747304AACF69606A487FCD0B6D6F737453696742697473046A7C6A33991D38CB
combatlog::7, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049BF5ED34B4E0A1880B6D6F73745369674269747304B44A8A04FDA1372F
combatlog::8, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049D11959E55ACB3FA0B6D6F73745369674269747304C4CAACA93B903B48
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFC600179030000003F017A0300000373
x, double, C08CFE91F4483A9D
z, double, 408B9EC4B0BBEF74

