# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1ce3fff4-5ab1-39f9-9081-8e30f4394fa3.combatlog.time, long, 0000000000000012
68b77945-2764-3b95-bbb9-f664b6148126.combatlog.time, long, 0000000000000003
bc512464-b75c-3038-8048-cdab2a1dc686.combatlog.time, long, 0000000000000015
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304AA58458F2FB8543A0B6D6F73745369674269747304ECD6836257523C56
combatlog::2, offlineplayer, 810475756964800455554944820C6C65617374536967426974730490818E30F4394FA30B6D6F737453696742697473041CE3FFF45AB139F9
combatlog::3, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048048CDAB2A1DC6860B6D6F73745369674269747304BC512464B75C3038
combatlog::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BBB9F664B61481260B6D6F7374536967426974730468B7794527643B95
combatlog::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304919129992B60703F0B6D6F73745369674269747304F90BB28307C131BB
ecd68362-5752-3c56-aa58-458f2fb8543a.combatlog.time, long, 0000000000000015
f90bb283-07c1-31bb-9191-29992b60703f.combatlog.time, long, 0000000000000012
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFDF501790300000040017A0300000175
x, double, C08050116A7AA5E7
z, double, 40775F9CE1B9CA24

