# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 000000000000000E
2a919fcb-530b-32a4-96f6-c288f0deed49.combatlog.time, long, 000000000000000F
8b5a5413-8dbe-315f-bf49-6ecf39ff9b27.combatlog.time, long, 000000000000000F
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BF496ECF39FF9B270B6D6F737453696742697473048B5A54138DBE315F
combatlog::2, offlineplayer, 810475756964800455554944820C6C65617374536967426974730496F6C288F0DEED490B6D6F737453696742697473042A919FCB530B32A4
combatlog::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFFC601790300000053017A03000000A3
x, double, C04CB08D02A1A6C0
z, double, 4064747D00DD6E58

