# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

3fb8fd47-9050-3bb1-89a5-7edd7d0404a9.combatlog.time, long, 0000000000000014
784f61ea-c394-3ea4-9876-e1e83f61f076.combatlog.time, long, 0000000000000007
9820eb1d-ba51-3ebd-a398-1fa6951e1c1e.combatlog.time, long, 0000000000000007
combatlog::1, offlineplayer, 810475756964800455554944820C6C65617374536967426974730489A57EDD7D0404A90B6D6F737453696742697473043FB8FD4790503BB1
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A3981FA6951E1C1E0B6D6F737453696742697473049820EB1DBA513EBD
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304912630D6E9595C2D0B6D6F73745369674269747304F89E933A2AE53131
combatlog::5, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049876E1E83F61F0760B6D6F73745369674269747304784F61EAC3943EA4
f89e933a-2ae5-3131-9126-30d6e9595c2d.combatlog.time, long, 0000000000000014
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000003AC01790300000044017A0300000255
x, double, 408D612D81A41138
z, double, 4082A9682AD67DB4

