# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 0000000000000013
2cec0e1c-0422-3021-8ca8-b5a98621cd15.combatlog.time, long, 000000000000000E
3c172c6e-ea45-31cc-b2f6-084fbe5c0ce6.combatlog.time, long, 0000000000000013
ba60bbc4-abe4-3b2f-ba3b-a306d194be05.combatlog.time, long, 000000000000000C
combatlog::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048CA8B5A98621CD150B6D6F737453696742697473042CEC0E1C04223021
combatlog::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B2F6084FBE5C0CE60B6D6F737453696742697473043C172C6EEA4531CC
combatlog::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BA3BA306D194BE050B6D6F73745369674269747304BA60BBC4ABE43B2F
combatlog::6, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048FC8637C270A84810B6D6F73745369674269747304FB14192DF0913F25
fb14192d-f091-3f25-8fc8-637c270a8481.combatlog.time, long, 000000000000000A
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFF0001790300000048017A03FFFFFD51
x, double, C06FF54B97EBD68C
z, double, C08576A3885BA539

