# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

19f32ee2-4606-3f25-bff1-96844b9aacbc.combatlog.time, long, 0000000000000010
224ee769-9e92-3893-abad-9ca5cfde0000.combatlog.time, long, 0000000000000010
3e66b704-e4f5-3804-b45b-79c39f89e37f.combatlog.time, long, 000000000000000F
868ecedb-c61f-3f1a-9ac9-5095c0f9c4b6.combatlog.time, long, 0000000000000014
8ee8de3a-8d28-3ade-939e-183c18bd4628.combatlog.time, long, 0000000000000014
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B45B79C39F89E37F0B6D6F737453696742697473043E66B704E4F53804
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304ABAD9CA5CFDE00000B6D6F73745369674269747304224EE7699E923893
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304BFF196844B9AACBC0B6D6F7374536967426974730419F32EE246063F25
combatlog::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049AC95095C0F9C4B60B6D6F73745369674269747304868ECEDBC61F3F1A
combatlog::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304939E183C18BD46280B6D6F737453696742697473048EE8DE3A8D283ADE
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000001760179030000003E017A03FFFFFF80
rtpqueue::looking, long, 0000000000000001
rtpqueue::looking::7d84ffb2-6a5e-3092-a604-50b8b77c30d1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A60450B8B77C30D10B6D6F737453696742697473047D84FFB26A5E3092
rtpqueue::looking::searching::7d84ffb2-6a5e-3092-a604-50b8b77c30d1, boolean, 01
x, double, 407768ED8595240C
z, double, C05FC69DD6468580

