# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

074431ae-ac2d-3a82-95f7-1476cb14e5ff.combatlog.time, long, 0000000000000015
8d2aefd2-af5d-35b8-8968-20d7bd45014a.combatlog.time, long, 0000000000000014
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304896820D7BD45014A0B6D6F737453696742697473048D2AEFD2AF5D35B8
combatlog::2, offlineplayer, 810475756964800455554944820C6C65617374536967426974730495F71476CB14E5FF0B6D6F73745369674269747304074431AEAC2D3A82
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803000003CB01790300000040017A0300000308
rtpqueue::looking, long, 0000000000000001
rtpqueue::looking::4be51720-0224-3c34-a35c-454c128b0d96, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A35C454C128B0D960B6D6F737453696742697473044BE5172002243C34
rtpqueue::looking::searching::4be51720-0224-3c34-a35c-454c128b0d96, boolean, 01
x, double, 408E5843591D8862
z, double, 408843459A8A2C32

